adc,ScatteringCross_section_m2,Water,Silica,Glass,PSL,Dust
10,7.54136302077617e-12,5.17227385293609,4.8477335154907,4.68888263183486,4.7415703310163,5.77454159896246
92,1.07019992426967e-11,6.23896888860038,5.84706687723013,5.73156269396208,5.71473250471941,7.22735132099115
208,1.51731431663891e-11,7.47659869829225,7.06512361290566,6.8995680278005,6.80338533450636,9.18289190794834
328,1.97984644667606e-11,8.58486880360603,8.07452629496918,7.87556641730399,7.84931536653469,11.105969858776
451,2.45394187996414e-11,9.6237576757382,9.00806846619645,8.82588320712822,8.71764149696677,13.1026211182618
578,2.94345505092012e-11,10.5342537011202,9.84461916905278,9.69309570163431,9.57768829534298,15.1949966937243
708,3.44453152512703e-11,11.4395738838831,10.7693333050339,10.4929111920711,10.4245089542755,17.5206618598892
842,3.96102573700184e-11,12.2314413449755,11.5353929008236,11.2713789737883,11.1727302406218,20.0574690744869
979,4.48908325212759e-11,13.108704305273,12.2887791043546,12.0421994625501,11.9425364494458,22.9422144495011
1119,5.02870407050426e-11,13.8424586741593,13.0304291480174,12.7644644658351,12.6566097843846,26.1088994627774
1263,5.58374262654884e-11,14.6606690889379,13.7196194093109,13.445120467886,13.3567773716643,29.7639574025555
1411,6.15419892026132e-11,15.36918248578,14.4772474103624,14.1188914272901,13.994815734089,NaN
1562,6.73621851722473e-11,16.1705869859129,15.1307165004018,14.7766317190532,14.669526859685,NaN
1716,7.32980141743907e-11,16.760051539744,15.721593059946,15.4926002559571,15.3304955705365,NaN
1874,7.93880205532131e-11,17.51088524103,16.3877460742365,16.0512356281908,15.9694288513088,NaN
4095,1.64995008954255e-10,25.4466073731117,23.7883996185994,23.3328497320352,23.1460602233105,NaN
