adc,\sigma_{sca} (m^{2})
0,-6.21370838576099e-12
1,-6.16503655684922e-12
2,-6.11636472793746e-12
3,-6.06769289902569e-12
4,-6.01902107011392e-12
5,-5.97034924120215e-12
6,-5.92167741229038e-12
7,-5.87300558337861e-12
8,-5.82433375446684e-12
9,-5.77566192555507e-12
10,-5.7269900966433e-12
11,-5.67831826773154e-12
12,-5.62964643881977e-12
13,-5.580974609908e-12
14,-5.53230278099623e-12
15,-5.48363095208446e-12
16,-5.43495912317269e-12
17,-5.38628729426092e-12
18,-5.33761546534915e-12
19,-5.28894363643738e-12
20,-5.24027180752562e-12
21,-5.19159997861385e-12
22,-5.14292814970208e-12
23,-5.09425632079031e-12
24,-5.04558449187854e-12
25,-4.99691266296677e-12
26,-4.948240834055e-12
27,-4.89956900514323e-12
28,-4.85089717623146e-12
29,-4.80222534731969e-12
30,-4.75355351840793e-12
31,-4.70488168949616e-12
32,-4.65620986058439e-12
33,-4.60753803167262e-12
34,-4.55886620276085e-12
35,-4.51019437384908e-12
36,-4.46152254493731e-12
37,-4.41285071602554e-12
38,-4.36417888711377e-12
39,-4.31550705820201e-12
40,-4.26683522929024e-12
41,-4.21816340037847e-12
42,-4.1694915714667e-12
43,-4.12081974255493e-12
44,-4.07214791364316e-12
45,-4.02347608473139e-12
46,-3.97480425581962e-12
47,-3.92613242690785e-12
48,-3.87746059799609e-12
49,-3.82878876908432e-12
50,-3.78011694017255e-12
51,-3.73144511126078e-12
52,-3.68277328234901e-12
53,-3.63410145343724e-12
54,-3.58542962452547e-12
55,-3.5367577956137e-12
56,-3.48808596670193e-12
57,-3.43941413779016e-12
58,-3.3907423088784e-12
59,-3.34207047996663e-12
60,-3.29339865105486e-12
61,-3.24472682214309e-12
62,-3.19605499323132e-12
63,-3.14738316431955e-12
64,-3.09871133540778e-12
65,-3.05003950649601e-12
66,-3.00136767758424e-12
67,-2.95269584867248e-12
68,-2.90402401976071e-12
69,-2.85535219084894e-12
70,-2.80668036193717e-12
71,-2.7580085330254e-12
72,-2.70933670411363e-12
73,-2.66066487520186e-12
74,-2.61199304629009e-12
75,-2.56332121737832e-12
76,-2.51464938846656e-12
77,-2.46597755955479e-12
78,-2.41730573064302e-12
79,-2.36863390173125e-12
80,-2.31996207281948e-12
81,-2.27129024390771e-12
82,-2.22261841499594e-12
83,-2.17394658608417e-12
84,-2.1252747571724e-12
85,-2.07660292826063e-12
86,-2.02793109934887e-12
87,-1.9792592704371e-12
88,-1.93058744152533e-12
89,-1.88191561261356e-12
90,-1.83324378370179e-12
91,-1.78457195479002e-12
92,-1.73590012587825e-12
93,-1.68722829696648e-12
94,-1.63855646805471e-12
95,-1.58988463914295e-12
96,-1.54121281023118e-12
97,-1.49254098131941e-12
98,-1.44386915240764e-12
99,-1.39519732349587e-12
100,-1.3465254945841e-12
101,-1.29785366567233e-12
102,-1.24918183676056e-12
103,-1.20051000784879e-12
104,-1.15183817893703e-12
105,-1.10316635002526e-12
106,-1.05449452111349e-12
107,-1.00582269220172e-12
108,-9.5715086328995e-13
109,-9.08479034378181e-13
110,-8.59807205466412e-13
111,-8.11135376554643e-13
112,-7.62463547642874e-13
113,-7.13791718731105e-13
114,-6.65119889819336e-13
115,-6.16448060907567e-13
116,-5.67776231995798e-13
117,-5.19104403084029e-13
118,-4.7043257417226e-13
119,-4.21760745260491e-13
120,-3.73088916348722e-13
121,-3.24417087436953e-13
122,-2.75745258525184e-13
123,-2.27073429613415e-13
124,-1.78401600701647e-13
125,-1.29729771789878e-13
126,-8.10579428781087e-14
127,-3.23861139663398e-14
128,1.62857149454292e-14
129,6.49575438571981e-14
130,1.13629372768967e-13
131,1.62301201680736e-13
132,2.10973030592505e-13
133,2.59644859504274e-13
134,3.08316688416043e-13
135,3.56988517327812e-13
136,4.05660346239581e-13
137,4.5433217515135e-13
138,5.03004004063119e-13
139,5.51675832974887e-13
140,6.00347661886656e-13
141,6.49019490798425e-13
142,6.97691319710194e-13
143,7.46363148621963e-13
144,7.95034977533732e-13
145,8.43706806445501e-13
146,8.9237863535727e-13
147,9.41050464269039e-13
148,9.89722293180808e-13
149,1.03839412209258e-12
150,1.08706595100435e-12
151,1.13573777991611e-12
152,1.18440960882788e-12
153,1.23308143773965e-12
154,1.28175326665142e-12
155,1.33042509556319e-12
156,1.37909692447496e-12
157,1.42776875338673e-12
158,1.4764405822985e-12
159,1.52511241121027e-12
160,1.57378424012203e-12
161,1.6224560690338e-12
162,1.67112789794557e-12
163,1.71979972685734e-12
164,1.76847155576911e-12
165,1.81714338468088e-12
166,1.86581521359265e-12
167,1.91448704250442e-12
168,1.96315887141619e-12
169,2.01183070032796e-12
170,2.06050252923972e-12
171,2.10917435815149e-12
172,2.15784618706326e-12
173,2.20651801597503e-12
174,2.2551898448868e-12
175,2.30386167379857e-12
176,2.35253350271034e-12
177,2.40120533162211e-12
178,2.44987716053388e-12
179,2.49854898944564e-12
180,2.54722081835741e-12
181,2.59589264726918e-12
182,2.64456447618095e-12
183,2.69323630509272e-12
184,2.74190813400449e-12
185,2.79057996291626e-12
186,2.83925179182803e-12
187,2.8879236207398e-12
188,2.93659544965157e-12
189,2.98526727856333e-12
190,3.0339391074751e-12
191,3.08261093638687e-12
192,3.13128276529864e-12
193,3.17995459421041e-12
194,3.22862642312218e-12
195,3.27729825203395e-12
196,3.32597008094572e-12
197,3.37464190985749e-12
198,3.42331373876925e-12
199,3.47198556768102e-12
200,3.52065739659279e-12
201,3.56932922550456e-12
202,3.61800105441633e-12
203,3.6666728833281e-12
204,3.71534471223987e-12
205,3.76401654115164e-12
206,3.81268837006341e-12
207,3.86136019897518e-12
208,3.91003202788694e-12
209,3.95870385679871e-12
210,4.00737568571048e-12
211,4.05604751462225e-12
212,4.10471934353402e-12
213,4.15339117244579e-12
214,4.20206300135756e-12
215,4.25073483026933e-12
216,4.29940665918109e-12
217,4.34807848809286e-12
218,4.39675031700463e-12
219,4.4454221459164e-12
220,4.49409397482817e-12
221,4.54276580373994e-12
222,4.59143763265171e-12
223,4.64010946156348e-12
224,4.68878129047525e-12
225,4.73745311938702e-12
226,4.78612494829878e-12
227,4.83479677721055e-12
228,4.88346860612232e-12
229,4.93214043503409e-12
230,4.98081226394586e-12
231,5.02948409285763e-12
232,5.0781559217694e-12
233,5.12682775068117e-12
234,5.17549957959294e-12
235,5.22417140850471e-12
236,5.27284323741647e-12
237,5.32151506632824e-12
238,5.37018689524001e-12
239,5.41885872415178e-12
240,5.46753055306355e-12
241,5.51620238197532e-12
242,5.56487421088709e-12
243,5.61354603979886e-12
244,5.66221786871063e-12
245,5.71088969762239e-12
246,5.75956152653416e-12
247,5.80823335544593e-12
248,5.8569051843577e-12
249,5.90557701326947e-12
250,5.95424884218124e-12
251,6.00292067109301e-12
252,6.05159250000478e-12
253,6.10026432891655e-12
254,6.14893615782831e-12
255,6.19760798674008e-12
256,6.24627981565185e-12
257,6.29495164456362e-12
258,6.34362347347539e-12
259,6.39229530238716e-12
260,6.44096713129893e-12
261,6.4896389602107e-12
262,6.53831078912247e-12
263,6.58698261803424e-12
264,6.635654446946e-12
265,6.68432627585777e-12
266,6.73299810476954e-12
267,6.78166993368131e-12
268,6.83034176259308e-12
269,6.87901359150485e-12
270,6.92768542041662e-12
271,6.97635724932839e-12
272,7.02502907824016e-12
273,7.07370090715192e-12
274,7.12237273606369e-12
275,7.17104456497546e-12
276,7.21971639388723e-12
277,7.268388222799e-12
278,7.31706005171077e-12
279,7.36573188062254e-12
280,7.41440370953431e-12
281,7.46307553844608e-12
282,7.51174736735784e-12
