adc,ScatteringCross_section_m2,Water,Silica,Glass,PSL,Dust
93,-9.40862391800108e-13,NaN,NaN,NaN,NaN,NaN
94,-8.88863341016916e-13,NaN,NaN,NaN,NaN,NaN
95,-8.36864290233725e-13,NaN,NaN,NaN,NaN,NaN
96,-7.84865239450534e-13,NaN,NaN,NaN,NaN,NaN
97,-7.32866188667344e-13,NaN,NaN,NaN,NaN,NaN
98,-6.80867137884152e-13,NaN,NaN,NaN,NaN,NaN
99,-6.28868087100962e-13,NaN,NaN,NaN,NaN,NaN
100,-5.7686903631777e-13,NaN,NaN,NaN,NaN,NaN
101,-5.24869985534579e-13,NaN,NaN,NaN,NaN,NaN
102,-4.72870934751389e-13,NaN,NaN,NaN,NaN,NaN
103,-4.20871883968198e-13,NaN,NaN,NaN,NaN,NaN
104,-3.68872833185007e-13,NaN,NaN,NaN,NaN,NaN
105,-3.16873782401815e-13,NaN,NaN,NaN,NaN,NaN
106,-2.64874731618624e-13,NaN,NaN,NaN,NaN,NaN
107,-2.12875680835434e-13,NaN,NaN,NaN,NaN,NaN
108,-1.60876630052243e-13,NaN,NaN,NaN,NaN,NaN
109,-1.08877579269052e-13,NaN,NaN,NaN,NaN,NaN
110,-5.68785284858605e-14,NaN,NaN,NaN,NaN,NaN
111,-4.87947770266953e-15,NaN,NaN,NaN,NaN,NaN
112,4.71195730805215e-14,0.316438286697909,0.268016788025368,0.250111403475642,0.23804650216033,0.249592798677058
113,9.91186238637125e-14,0.403029520465642,0.336834720378946,0.311338545518848,0.294444158889149,0.312086298372747
114,1.51117674646903e-13,0.482369953110384,0.397450376922894,0.373426527821861,0.361452435694231,0.375094732093013
115,2.03116725430094e-13,0.572357689090188,0.496956942042492,0.549690249744658,0.671797793825634,0.662369960916836
116,2.55115776213285e-13,0.671333127370416,0.628668646385814,0.756347950265959,0.796802759438057,0.764315282219183
117,3.07114826996476e-13,0.767428826350299,0.78458921918315,0.873681619238345,0.920602461655228,0.97321016674503
118,3.59113877779667e-13,0.848926498032749,0.929670032270596,1.03062388582661,0.966672535284238,1.06652722056218
119,4.11112928562858e-13,0.920103567883914,1.07614474742529,1.1024158440338,1.02564690522684,1.10661732755002
120,4.63111979346049e-13,0.956013213852939,1.22491180590318,1.11317186746269,1.06690370326658,1.14553925532251
121,5.1511103012924e-13,1.0217440294139,1.26072340924644,1.17618708385867,1.07650299770213,1.18274513108834
122,5.67110080912431e-13,1.07976676529391,1.3050585868712,1.18772199576559,1.1283028735454,1.19331835292447
123,6.19109131695622e-13,1.12260970459057,1.31974892155388,1.22182679508479,1.14823541979196,1.25610543003601
124,6.71108182478813e-13,1.27679156481155,1.35919540968543,1.26238183751981,1.20878996567891,1.26746864921532
125,7.23107233262004e-13,1.31484164862122,1.39729641837907,1.26911562133494,1.24943657770206,1.33665658307234
126,7.75106284045195e-13,1.54416741457597,1.40577314583268,1.33693589577294,1.38274428494676,1.39170856619627
127,8.27105334828386e-13,1.6122234507655,1.459197836192,1.3468323819191,1.45049063393747,1.43067535521314
128,8.79104385611577e-13,1.69455263389683,1.48254555255758,1.40594147338493,1.58902702639742,1.58298309195966
129,9.31103436394768e-13,1.73782214552841,1.51293882092173,1.55710487028435,1.60302671479463,1.66172535018328
130,9.83102487177959e-13,1.8166732860394,1.56388817778706,1.62662618597033,1.62184640638433,1.73719267942
131,1.03510153796115e-12,1.88240665616948,1.59015602676738,1.65737619691185,1.67965122628606,1.77655536571998
132,1.08710058874434e-12,1.91376670609748,1.65820854870722,1.72049678111485,1.68346691257426,1.89052331906639
133,1.13909963952753e-12,1.953646687518,1.71998578769831,1.81499341841008,1.76514175348645,1.91860918243977
134,1.19109869031072e-12,2.0675038049689,1.74673101654019,1.80347468001529,1.78507358925708,1.98121360246482
