adc,\sigma_{sca} (m^{2})
0,1.5961343061723e-13
1,1.80807812292266e-13
2,2.02002193967302e-13
3,2.23196575642338e-13
4,2.44390957317374e-13
5,2.6558533899241e-13
6,2.86779720667446e-13
7,3.07974102342482e-13
8,3.29168484017519e-13
9,3.50362865692555e-13
10,3.71557247367591e-13
11,3.92751629042627e-13
12,4.13946010717663e-13
13,4.35140392392699e-13
14,4.56334774067735e-13
15,4.77529155742771e-13
16,4.98723537417807e-13
17,5.19917919092843e-13
18,5.41112300767879e-13
19,5.62306682442915e-13
20,5.83501064117952e-13
21,6.04695445792988e-13
22,6.25889827468024e-13
23,6.4708420914306e-13
24,6.68278590818096e-13
25,6.89472972493132e-13
26,7.10667354168168e-13
27,7.31861735843204e-13
28,7.5305611751824e-13
29,7.74250499193276e-13
30,7.95444880868312e-13
31,8.16639262543348e-13
32,8.37833644218385e-13
33,8.59028025893421e-13
34,8.80222407568457e-13
35,9.01416789243493e-13
36,9.22611170918529e-13
37,9.43805552593565e-13
38,9.64999934268601e-13
39,9.86194315943637e-13
40,1.00738869761867e-12
41,1.02858307929371e-12
42,1.04977746096875e-12
43,1.07097184264378e-12
44,1.09216622431882e-12
45,1.11336060599385e-12
46,1.13455498766889e-12
47,1.15574936934393e-12
48,1.17694375101896e-12
49,1.198138132694e-12
50,1.21933251436903e-12
51,1.24052689604407e-12
52,1.26172127771911e-12
53,1.28291565939414e-12
54,1.30411004106918e-12
55,1.32530442274421e-12
56,1.34649880441925e-12
57,1.36769318609429e-12
58,1.38888756776932e-12
59,1.41008194944436e-12
60,1.43127633111939e-12
61,1.45247071279443e-12
62,1.47366509446947e-12
63,1.4948594761445e-12
64,1.51605385781954e-12
65,1.53724823949458e-12
66,1.55844262116961e-12
67,1.57963700284465e-12
68,1.60083138451968e-12
69,1.62202576619472e-12
70,1.64322014786976e-12
71,1.66441452954479e-12
72,1.68560891121983e-12
73,1.70680329289486e-12
74,1.7279976745699e-12
75,1.74919205624494e-12
76,1.77038643791997e-12
77,1.79158081959501e-12
78,1.81277520127004e-12
79,1.83396958294508e-12
80,1.85516396462012e-12
81,1.87635834629515e-12
82,1.89755272797019e-12
83,1.91874710964522e-12
84,1.93994149132026e-12
85,1.9611358729953e-12
86,1.98233025467033e-12
87,2.00352463634537e-12
88,2.02471901802041e-12
89,2.04591339969544e-12
90,2.06710778137048e-12
91,2.08830216304551e-12
92,2.10949654472055e-12
93,2.13069092639559e-12
94,2.15188530807062e-12
95,2.17307968974566e-12
96,2.19427407142069e-12
97,2.21546845309573e-12
98,2.23666283477077e-12
99,2.2578572164458e-12
100,2.27905159812084e-12
101,2.30024597979587e-12
102,2.32144036147091e-12
103,2.34263474314595e-12
