adc,\sigma_{sca} (m^{2})
227,-2.74037569286144e-12
228,-2.71973862180783e-12
229,-2.69910155075422e-12
230,-2.67846447970061e-12
231,-2.657827408647e-12
232,-2.6371903375934e-12
233,-2.61655326653979e-12
234,-2.59591619548618e-12
235,-2.57527912443257e-12
236,-2.55464205337896e-12
237,-2.53400498232535e-12
238,-2.51336791127174e-12
239,-2.49273084021813e-12
240,-2.47209376916452e-12
241,-2.45145669811092e-12
242,-2.43081962705731e-12
243,-2.4101825560037e-12
244,-2.38954548495009e-12
245,-2.36890841389648e-12
246,-2.34827134284287e-12
247,-2.32763427178926e-12
248,-2.30699720073565e-12
249,-2.28636012968205e-12
250,-2.26572305862844e-12
251,-2.24508598757483e-12
252,-2.22444891652122e-12
253,-2.20381184546761e-12
254,-2.183174774414e-12
255,-2.16253770336039e-12
256,-2.14190063230678e-12
257,-2.12126356125317e-12
258,-2.10062649019957e-12
259,-2.07998941914596e-12
260,-2.05935234809235e-12
261,-2.03871527703874e-12
262,-2.01807820598513e-12
263,-1.99744113493152e-12
264,-1.97680406387791e-12
265,-1.9561669928243e-12
266,-1.93552992177069e-12
267,-1.91489285071709e-12
268,-1.89425577966348e-12
269,-1.87361870860987e-12
270,-1.85298163755626e-12
271,-1.83234456650265e-12
272,-1.81170749544904e-12
273,-1.79107042439543e-12
274,-1.77043335334182e-12
275,-1.74979628228822e-12
276,-1.72915921123461e-12
277,-1.708522140181e-12
278,-1.68788506912739e-12
279,-1.66724799807378e-12
280,-1.64661092702017e-12
281,-1.62597385596656e-12
282,-1.60533678491295e-12
283,-1.58469971385934e-12
284,-1.56406264280574e-12
285,-1.54342557175213e-12
286,-1.52278850069852e-12
287,-1.50215142964491e-12
288,-1.4815143585913e-12
289,-1.46087728753769e-12
290,-1.44024021648408e-12
291,-1.41960314543047e-12
292,-1.39896607437687e-12
293,-1.37832900332326e-12
294,-1.35769193226965e-12
295,-1.33705486121604e-12
296,-1.31641779016243e-12
297,-1.29578071910882e-12
298,-1.27514364805521e-12
299,-1.2545065770016e-12
300,-1.23386950594799e-12
301,-1.21323243489439e-12
302,-1.19259536384078e-12
303,-1.17195829278717e-12
304,-1.15132122173356e-12
305,-1.13068415067995e-12
306,-1.11004707962634e-12
307,-1.08941000857273e-12
308,-1.06877293751912e-12
309,-1.04813586646551e-12
310,-1.02749879541191e-12
311,-1.0068617243583e-12
312,-9.86224653304688e-13
313,-9.65587582251079e-13
314,-9.4495051119747e-13
315,-9.24313440143862e-13
316,-9.03676369090253e-13
317,-8.83039298036644e-13
318,-8.62402226983035e-13
319,-8.41765155929426e-13
320,-8.21128084875817e-13
321,-8.00491013822209e-13
322,-7.798539427686e-13
323,-7.59216871714991e-13
324,-7.38579800661382e-13
325,-7.17942729607773e-13
326,-6.97305658554164e-13
327,-6.76668587500556e-13
328,-6.56031516446947e-13
329,-6.35394445393338e-13
330,-6.14757374339729e-13
331,-5.9412030328612e-13
332,-5.73483232232511e-13
333,-5.52846161178903e-13
334,-5.32209090125294e-13
335,-5.11572019071685e-13
336,-4.90934948018076e-13
337,-4.70297876964467e-13
338,-4.49660805910858e-13
339,-4.29023734857249e-13
340,-4.08386663803641e-13
341,-3.87749592750032e-13
342,-3.67112521696423e-13
343,-3.46475450642814e-13
344,-3.25838379589205e-13
345,-3.05201308535596e-13
346,-2.84564237481988e-13
347,-2.63927166428379e-13
348,-2.4329009537477e-13
349,-2.22653024321161e-13
350,-2.02015953267552e-13
351,-1.81378882213943e-13
352,-1.60741811160335e-13
353,-1.40104740106726e-13
354,-1.19467669053117e-13
355,-9.8830597999508e-14
356,-7.81935269458992e-14
357,-5.75564558922903e-14
358,-3.69193848386815e-14
359,-1.62823137850727e-14
360,4.35475726853616e-15
361,2.4991828322145e-14
362,4.56288993757538e-14
363,6.62659704293627e-14
364,8.69030414829715e-14
365,1.0754011253658e-13
366,1.28177183590189e-13
367,1.48814254643798e-13
368,1.69451325697407e-13
369,1.90088396751016e-13
370,2.10725467804625e-13
371,2.31362538858233e-13
372,2.51999609911842e-13
373,2.72636680965451e-13
374,2.9327375201906e-13
375,3.13910823072669e-13
376,3.34547894126278e-13
377,3.55184965179886e-13
378,3.75822036233495e-13
379,3.96459107287104e-13
380,4.17096178340713e-13
381,4.37733249394322e-13
382,4.58370320447931e-13
383,4.7900739150154e-13
384,4.99644462555148e-13
385,5.20281533608757e-13
386,5.40918604662366e-13
387,5.61555675715975e-13
388,5.82192746769584e-13
389,6.02829817823193e-13
390,6.23466888876801e-13
391,6.4410395993041e-13
392,6.64741030984019e-13
393,6.85378102037628e-13
394,7.06015173091237e-13
395,7.26652244144846e-13
396,7.47289315198454e-13
397,7.67926386252063e-13
398,7.88563457305672e-13
399,8.09200528359281e-13
400,8.2983759941289e-13
401,8.50474670466499e-13
402,8.71111741520107e-13
403,8.91748812573716e-13
404,9.12385883627325e-13
405,9.33022954680934e-13
406,9.53660025734543e-13
407,9.74297096788152e-13
408,9.9493416784176e-13
409,1.01557123889537e-12
410,1.03620830994898e-12
411,1.05684538100259e-12
412,1.0774824520562e-12
413,1.0981195231098e-12
414,1.11875659416341e-12
415,1.13939366521702e-12
416,1.16003073627063e-12
417,1.18066780732424e-12
418,1.20130487837785e-12
419,1.22194194943146e-12
420,1.24257902048507e-12
421,1.26321609153868e-12
422,1.28385316259228e-12
423,1.30449023364589e-12
424,1.3251273046995e-12
425,1.34576437575311e-12
426,1.36640144680672e-12
427,1.38703851786033e-12
428,1.40767558891394e-12
429,1.42831265996755e-12
430,1.44894973102115e-12
431,1.46958680207476e-12
432,1.49022387312837e-12
433,1.51086094418198e-12
434,1.53149801523559e-12
435,1.5521350862892e-12
436,1.57277215734281e-12
437,1.59340922839642e-12
438,1.61404629945003e-12
439,1.63468337050363e-12
440,1.65532044155724e-12
441,1.67595751261085e-12
442,1.69659458366446e-12
443,1.71723165471807e-12
444,1.73786872577168e-12
445,1.75850579682529e-12
446,1.7791428678789e-12
447,1.79977993893251e-12
448,1.82041700998611e-12
449,1.84105408103972e-12
450,1.86169115209333e-12
451,1.88232822314694e-12
452,1.90296529420055e-12
453,1.92360236525416e-12
454,1.94423943630777e-12
455,1.96487650736138e-12
456,1.98551357841498e-12
457,2.00615064946859e-12
458,2.0267877205222e-12
459,2.04742479157581e-12
460,2.06806186262942e-12
461,2.08869893368303e-12
462,2.10933600473664e-12
463,2.12997307579025e-12
464,2.15061014684386e-12
465,2.17124721789746e-12
466,2.19188428895107e-12
467,2.21252136000468e-12
468,2.23315843105829e-12
469,2.2537955021119e-12
470,2.27443257316551e-12
471,2.29506964421912e-12
472,2.31570671527273e-12
473,2.33634378632634e-12
474,2.35698085737994e-12
475,2.37761792843355e-12
476,2.39825499948716e-12
477,2.41889207054077e-12
478,2.43952914159438e-12
479,2.46016621264799e-12
480,2.4808032837016e-12
481,2.50144035475521e-12
482,2.52207742580881e-12
483,2.54271449686242e-12
484,2.56335156791603e-12
485,2.58398863896964e-12
486,2.60462571002325e-12
487,2.62526278107686e-12
488,2.64589985213047e-12
489,2.66653692318408e-12
490,2.68717399423769e-12
491,2.70781106529129e-12
492,2.7284481363449e-12
493,2.74908520739851e-12
494,2.76972227845212e-12
495,2.79035934950573e-12
496,2.81099642055934e-12
497,2.83163349161295e-12
498,2.85227056266656e-12
499,2.87290763372017e-12
500,2.89354470477377e-12
501,2.91418177582738e-12
502,2.93481884688099e-12
503,2.9554559179346e-12
504,2.97609298898821e-12
505,2.99673006004182e-12
506,3.01736713109543e-12
507,3.03800420214904e-12
508,3.05864127320264e-12
509,3.07927834425625e-12
510,3.09991541530986e-12
511,3.12055248636347e-12
512,3.14118955741708e-12
513,3.16182662847069e-12
514,3.1824636995243e-12
515,3.20310077057791e-12
516,3.22373784163152e-12
517,3.24437491268512e-12
518,3.26501198373873e-12
519,3.28564905479234e-12
520,3.30628612584595e-12
521,3.32692319689956e-12
522,3.34756026795317e-12
523,3.36819733900678e-12
524,3.38883441006039e-12
525,3.40947148111399e-12
526,3.4301085521676e-12
527,3.45074562322121e-12
528,3.47138269427482e-12
529,3.49201976532843e-12
530,3.51265683638204e-12
531,3.53329390743565e-12
532,3.55393097848926e-12
533,3.57456804954287e-12
534,3.59520512059647e-12
535,3.61584219165008e-12
536,3.63647926270369e-12
537,3.6571163337573e-12
538,3.67775340481091e-12
539,3.69839047586452e-12
540,3.71902754691813e-12
541,3.73966461797174e-12
542,3.76030168902534e-12
543,3.78093876007895e-12
544,3.80157583113256e-12
545,3.82221290218617e-12
546,3.84284997323978e-12
547,3.86348704429339e-12
548,3.884124115347e-12
549,3.90476118640061e-12
550,3.92539825745422e-12
551,3.94603532850782e-12
552,3.96667239956143e-12
553,3.98730947061504e-12
554,4.00794654166865e-12
555,4.02858361272226e-12
556,4.04922068377587e-12
557,4.06985775482948e-12
558,4.09049482588309e-12
559,4.11113189693669e-12
560,4.1317689679903e-12
561,4.15240603904391e-12
562,4.17304311009752e-12
563,4.19368018115113e-12
564,4.21431725220474e-12
565,4.23495432325835e-12
566,4.25559139431196e-12
567,4.27622846536557e-12
568,4.29686553641917e-12
569,4.31750260747278e-12
570,4.33813967852639e-12
571,4.35877674958e-12
572,4.37941382063361e-12
573,4.40005089168722e-12
574,4.42068796274083e-12
575,4.44132503379444e-12
576,4.46196210484805e-12
577,4.48259917590165e-12
578,4.50323624695526e-12
579,4.52387331800887e-12
580,4.54451038906248e-12
581,4.56514746011609e-12
582,4.5857845311697e-12
583,4.60642160222331e-12
584,4.62705867327692e-12
585,4.64769574433053e-12
586,4.66833281538413e-12
587,4.68896988643774e-12
588,4.70960695749135e-12
589,4.73024402854496e-12
590,4.75088109959857e-12
591,4.77151817065218e-12
592,4.79215524170579e-12
593,4.8127923127594e-12
594,4.833429383813e-12
595,4.85406645486661e-12
596,4.87470352592022e-12
597,4.89534059697383e-12
598,4.91597766802744e-12
599,4.93661473908105e-12
600,4.95725181013466e-12
601,4.97788888118827e-12
602,4.99852595224188e-12
603,5.01916302329548e-12
604,5.03980009434909e-12
605,5.0604371654027e-12
606,5.08107423645631e-12
607,5.10171130750992e-12
608,5.12234837856353e-12
609,5.14298544961714e-12
610,5.16362252067075e-12
611,5.18425959172435e-12
612,5.20489666277796e-12
613,5.22553373383157e-12
614,5.24617080488518e-12
615,5.26680787593879e-12
616,5.2874449469924e-12
617,5.30808201804601e-12
618,5.32871908909962e-12
619,5.34935616015323e-12
620,5.36999323120683e-12
621,5.39063030226044e-12
622,5.41126737331405e-12
623,5.43190444436766e-12
624,5.45254151542127e-12
625,5.47317858647488e-12
626,5.49381565752849e-12
627,5.5144527285821e-12
628,5.53508979963571e-12
629,5.55572687068931e-12
630,5.57636394174292e-12
631,5.59700101279653e-12
632,5.61763808385014e-12
633,5.63827515490375e-12
634,5.65891222595736e-12
635,5.67954929701097e-12
636,5.70018636806458e-12
637,5.72082343911818e-12
638,5.74146051017179e-12
639,5.7620975812254e-12
640,5.78273465227901e-12
641,5.80337172333262e-12
642,5.82400879438623e-12
643,5.84464586543984e-12
644,5.86528293649345e-12
645,5.88592000754706e-12
646,5.90655707860066e-12
647,5.92719414965427e-12
648,5.94783122070788e-12
649,5.96846829176149e-12
650,5.9891053628151e-12
651,6.00974243386871e-12
652,6.03037950492232e-12
653,6.05101657597593e-12
654,6.07165364702954e-12
655,6.09229071808314e-12
656,6.11292778913675e-12
657,6.13356486019036e-12
658,6.15420193124397e-12
659,6.17483900229758e-12
660,6.19547607335119e-12
661,6.2161131444048e-12
662,6.23675021545841e-12
663,6.25738728651201e-12
664,6.27802435756562e-12
665,6.29866142861923e-12
666,6.31929849967284e-12
667,6.33993557072645e-12
668,6.36057264178006e-12
669,6.38120971283367e-12
670,6.40184678388728e-12
671,6.42248385494089e-12
672,6.44312092599449e-12
673,6.4637579970481e-12
674,6.48439506810171e-12
675,6.50503213915532e-12
676,6.52566921020893e-12
677,6.54630628126254e-12
678,6.56694335231615e-12
679,6.58758042336976e-12
680,6.60821749442337e-12
681,6.62885456547697e-12
682,6.64949163653058e-12
683,6.67012870758419e-12
684,6.6907657786378e-12
685,6.71140284969141e-12
686,6.73203992074502e-12
687,6.75267699179863e-12
688,6.77331406285224e-12
689,6.79395113390584e-12
690,6.81458820495945e-12
691,6.83522527601306e-12
692,6.85586234706667e-12
693,6.87649941812028e-12
694,6.89713648917389e-12
