adc,\sigma_{sca} (m^{2})
0,8.52719140000044e-13
1,9.00558496135222e-13
2,9.48397852270399e-13
3,9.96237208405577e-13
4,1.04407656454075e-12
5,1.09191592067593e-12
6,1.13975527681111e-12
7,1.18759463294629e-12
8,1.23543398908146e-12
9,1.28327334521664e-12
10,1.33111270135182e-12
11,1.378952057487e-12
12,1.42679141362217e-12
13,1.47463076975735e-12
14,1.52247012589253e-12
15,1.5703094820277e-12
16,1.61814883816288e-12
17,1.66598819429806e-12
18,1.71382755043324e-12
19,1.76166690656841e-12
20,1.80950626270359e-12
21,1.85734561883877e-12
22,1.90518497497395e-12
23,1.95302433110912e-12
24,2.0008636872443e-12
25,2.04870304337948e-12
26,2.09654239951466e-12
27,2.14438175564983e-12
28,2.19222111178501e-12
29,2.24006046792019e-12
30,2.28789982405537e-12
31,2.33573918019054e-12
32,2.38357853632572e-12
33,2.4314178924609e-12
34,2.47925724859608e-12
35,2.52709660473125e-12
36,2.57493596086643e-12
37,2.62277531700161e-12
38,2.67061467313678e-12
39,2.71845402927196e-12
40,2.76629338540714e-12
41,2.81413274154232e-12
42,2.86197209767749e-12
43,2.90981145381267e-12
44,2.95765080994785e-12
45,3.00549016608303e-12
46,3.0533295222182e-12
47,3.10116887835338e-12
48,3.14900823448856e-12
49,3.19684759062374e-12
50,3.24468694675891e-12
51,3.29252630289409e-12
52,3.34036565902927e-12
53,3.38820501516444e-12
54,3.43604437129962e-12
55,3.4838837274348e-12
56,3.53172308356998e-12
57,3.57956243970515e-12
58,3.62740179584033e-12
59,3.67524115197551e-12
60,3.72308050811069e-12
61,3.77091986424586e-12
62,3.81875922038104e-12
63,3.86659857651622e-12
64,3.9144379326514e-12
65,3.96227728878657e-12
66,4.01011664492175e-12
67,4.05795600105693e-12
68,4.10579535719211e-12
69,4.15363471332728e-12
70,4.20147406946246e-12
71,4.24931342559764e-12
72,4.29715278173281e-12
73,4.34499213786799e-12
74,4.39283149400317e-12
75,4.44067085013835e-12
76,4.48851020627352e-12
77,4.5363495624087e-12
78,4.58418891854388e-12
79,4.63202827467906e-12
80,4.67986763081423e-12
81,4.72770698694941e-12
82,4.77554634308459e-12
83,4.82338569921977e-12
84,4.87122505535494e-12
85,4.91906441149012e-12
86,4.9669037676253e-12
87,5.01474312376047e-12
88,5.06258247989565e-12
89,5.11042183603083e-12
90,5.15826119216601e-12
91,5.20610054830119e-12
92,5.25393990443636e-12
93,5.30177926057154e-12
94,5.34961861670672e-12
95,5.39745797284189e-12
96,5.44529732897707e-12
97,5.49313668511225e-12
98,5.54097604124743e-12
99,5.5888153973826e-12
100,5.63665475351778e-12
101,5.68449410965296e-12
102,5.73233346578814e-12
103,5.78017282192331e-12
104,5.82801217805849e-12
105,5.87585153419367e-12
106,5.92369089032885e-12
107,5.97153024646402e-12
108,6.0193696025992e-12
109,6.06720895873438e-12
110,6.11504831486955e-12
111,6.16288767100473e-12
112,6.21072702713991e-12
113,6.25856638327509e-12
114,6.30640573941026e-12
115,6.35424509554544e-12
116,6.40208445168062e-12
117,6.4499238078158e-12
118,6.49776316395097e-12
119,6.54560252008615e-12
120,6.59344187622133e-12
121,6.64128123235651e-12
122,6.68912058849168e-12
123,6.73695994462686e-12
124,6.78479930076204e-12
125,6.83263865689722e-12
126,6.88047801303239e-12
127,6.92831736916757e-12
128,6.97615672530275e-12
129,7.02399608143792e-12
130,7.0718354375731e-12
131,7.11967479370828e-12
132,7.16751414984346e-12
133,7.21535350597863e-12
134,7.26319286211381e-12
135,7.31103221824899e-12
136,7.35887157438417e-12
137,7.40671093051934e-12
138,7.45455028665452e-12
139,7.5023896427897e-12
140,7.55022899892488e-12
141,7.59806835506005e-12
142,7.64590771119523e-12
143,7.69374706733041e-12
144,7.74158642346558e-12
145,7.78942577960076e-12
146,7.83726513573594e-12
147,7.88510449187112e-12
148,7.93294384800629e-12
149,7.98078320414147e-12
150,8.02862256027665e-12
151,8.07646191641183e-12
152,8.124301272547e-12
153,8.17214062868218e-12
154,8.21997998481736e-12
155,8.26781934095253e-12
156,8.31565869708771e-12
157,8.36349805322289e-12
158,8.41133740935807e-12
159,8.45917676549325e-12
160,8.50701612162842e-12
161,8.5548554777636e-12
162,8.60269483389878e-12
163,8.65053419003396e-12
164,8.69837354616913e-12
165,8.74621290230431e-12
166,8.79405225843949e-12
167,8.84189161457466e-12
168,8.88973097070984e-12
169,8.93757032684502e-12
170,8.9854096829802e-12
171,9.03324903911537e-12
172,9.08108839525055e-12
173,9.12892775138573e-12
174,9.17676710752091e-12
175,9.22460646365608e-12
176,9.27244581979126e-12
177,9.32028517592644e-12
178,9.36812453206162e-12
179,9.41596388819679e-12
180,9.46380324433197e-12
181,9.51164260046715e-12
182,9.55948195660232e-12
183,9.6073213127375e-12
184,9.65516066887268e-12
185,9.70300002500786e-12
186,9.75083938114303e-12
187,9.79867873727821e-12
188,9.84651809341339e-12
189,9.89435744954857e-12
190,9.94219680568374e-12
191,9.99003616181892e-12
192,1.00378755179541e-11
193,1.00857148740893e-11
194,1.01335542302245e-11
195,1.01813935863596e-11
196,1.02292329424948e-11
197,1.027707229863e-11
198,1.03249116547652e-11
199,1.03727510109003e-11
200,1.04205903670355e-11
201,1.04684297231707e-11
202,1.05162690793059e-11
203,1.0564108435441e-11
204,1.06119477915762e-11
205,1.06597871477114e-11
206,1.07076265038466e-11
207,1.07554658599818e-11
208,1.08033052161169e-11
209,1.08511445722521e-11
210,1.08989839283873e-11
211,1.09468232845225e-11
212,1.09946626406576e-11
213,1.10425019967928e-11
214,1.1090341352928e-11
