adc,\sigma_{sca} (m^{2})
0,-8.27312556094795e-12
1,-8.2481067113438e-12
2,-8.22308786173965e-12
3,-8.1980690121355e-12
4,-8.17305016253135e-12
5,-8.1480313129272e-12
6,-8.12301246332305e-12
7,-8.0979936137189e-12
8,-8.07297476411475e-12
9,-8.04795591451061e-12
10,-8.02293706490646e-12
11,-7.99791821530231e-12
12,-7.97289936569816e-12
13,-7.94788051609401e-12
14,-7.92286166648986e-12
15,-7.89784281688571e-12
16,-7.87282396728156e-12
17,-7.84780511767741e-12
18,-7.82278626807326e-12
19,-7.79776741846911e-12
20,-7.77274856886496e-12
21,-7.74772971926081e-12
22,-7.72271086965666e-12
23,-7.69769202005251e-12
24,-7.67267317044836e-12
25,-7.64765432084422e-12
26,-7.62263547124007e-12
27,-7.59761662163592e-12
28,-7.57259777203177e-12
29,-7.54757892242762e-12
30,-7.52256007282347e-12
31,-7.49754122321932e-12
32,-7.47252237361517e-12
33,-7.44750352401102e-12
34,-7.42248467440687e-12
35,-7.39746582480272e-12
36,-7.37244697519857e-12
37,-7.34742812559442e-12
38,-7.32240927599027e-12
39,-7.29739042638612e-12
40,-7.27237157678197e-12
41,-7.24735272717782e-12
42,-7.22233387757367e-12
43,-7.19731502796953e-12
44,-7.17229617836538e-12
45,-7.14727732876123e-12
46,-7.12225847915708e-12
47,-7.09723962955293e-12
48,-7.07222077994878e-12
49,-7.04720193034463e-12
50,-7.02218308074048e-12
51,-6.99716423113633e-12
52,-6.97214538153218e-12
53,-6.94712653192803e-12
54,-6.92210768232388e-12
55,-6.89708883271973e-12
56,-6.87206998311558e-12
57,-6.84705113351143e-12
58,-6.82203228390729e-12
59,-6.79701343430314e-12
60,-6.77199458469899e-12
61,-6.74697573509484e-12
62,-6.72195688549069e-12
63,-6.69693803588654e-12
64,-6.67191918628239e-12
65,-6.64690033667824e-12
66,-6.62188148707409e-12
67,-6.59686263746994e-12
68,-6.57184378786579e-12
69,-6.54682493826164e-12
70,-6.52180608865749e-12
71,-6.49678723905334e-12
72,-6.47176838944919e-12
73,-6.44674953984504e-12
74,-6.42173069024089e-12
75,-6.39671184063674e-12
76,-6.3716929910326e-12
77,-6.34667414142845e-12
78,-6.3216552918243e-12
79,-6.29663644222015e-12
80,-6.271617592616e-12
81,-6.24659874301185e-12
82,-6.2215798934077e-12
83,-6.19656104380355e-12
84,-6.1715421941994e-12
85,-6.14652334459525e-12
86,-6.1215044949911e-12
87,-6.09648564538695e-12
88,-6.0714667957828e-12
89,-6.04644794617865e-12
90,-6.0214290965745e-12
91,-5.99641024697035e-12
92,-5.97139139736621e-12
93,-5.94637254776206e-12
94,-5.92135369815791e-12
95,-5.89633484855376e-12
96,-5.87131599894961e-12
97,-5.84629714934546e-12
98,-5.82127829974131e-12
99,-5.79625945013716e-12
100,-5.77124060053301e-12
101,-5.74622175092886e-12
102,-5.72120290132471e-12
103,-5.69618405172056e-12
104,-5.67116520211641e-12
105,-5.64614635251226e-12
106,-5.62112750290811e-12
107,-5.59610865330396e-12
108,-5.57108980369981e-12
109,-5.54607095409567e-12
110,-5.52105210449152e-12
111,-5.49603325488737e-12
112,-5.47101440528322e-12
113,-5.44599555567907e-12
114,-5.42097670607492e-12
115,-5.39595785647077e-12
116,-5.37093900686662e-12
117,-5.34592015726247e-12
118,-5.32090130765832e-12
119,-5.29588245805417e-12
120,-5.27086360845002e-12
121,-5.24584475884587e-12
122,-5.22082590924172e-12
123,-5.19580705963757e-12
124,-5.17078821003342e-12
125,-5.14576936042928e-12
126,-5.12075051082513e-12
127,-5.09573166122098e-12
128,-5.07071281161683e-12
129,-5.04569396201268e-12
130,-5.02067511240853e-12
131,-4.99565626280438e-12
132,-4.97063741320023e-12
133,-4.94561856359608e-12
134,-4.92059971399193e-12
135,-4.89558086438778e-12
136,-4.87056201478363e-12
137,-4.84554316517948e-12
138,-4.82052431557533e-12
139,-4.79550546597118e-12
140,-4.77048661636703e-12
141,-4.74546776676288e-12
142,-4.72044891715874e-12
143,-4.69543006755459e-12
144,-4.67041121795044e-12
145,-4.64539236834629e-12
146,-4.62037351874214e-12
147,-4.59535466913799e-12
